station,timestamp_utc,air_temperature_c,relative_humidity_pct,dew_point_c,rain_mm,wind_speed_kmh,wind_gust_speed_kmh,wind_direction_deg,solar_radiation_w_m2,battery_v
cavendish,2024-08-01 00:00:00+00:00,24.471809523809522,82.30238095238096,21.208650793650794,2.2,,,202.0,220.9647435897436,4.29697619047619
cavendish,2024-08-02 00:00:00+00:00,23.46052777777778,88.16819444444444,21.315694444444443,0.0,,,226.0,280.06388888888887,4.293819444444444
cavendish,2024-08-03 00:00:00+00:00,24.78686111111111,79.7461111111111,20.988222222222223,0.0,,,168.0,164.43333333333334,4.293465277777778
cavendish,2024-08-04 00:00:00+00:00,24.220208333333332,86.55541666666667,21.805527777777776,0.0,,,237.0,174.73055555555555,4.293076388888888
cavendish,2024-08-05 00:00:00+00:00,22.781972222222223,85.35611111111112,20.096208333333333,0.2,,,201.0,224.01666666666668,4.293038194444445
cavendish,2024-08-06 00:00:00+00:00,19.54352777777778,77.18208333333334,15.278069444444442,7.2,,,201.0,192.26527777777778,4.29278125
cavendish,2024-08-07 00:00:00+00:00,19.67976388888889,68.82138888888889,13.292027777777777,0.0,,,201.0,255.1375,4.290295138888889
cavendish,2024-08-08 00:00:00+00:00,20.087027777777777,58.83513888888889,11.44822222222222,0.0,,,284.0,285.59166666666664,4.291902777777778
cavendish,2024-08-09 00:00:00+00:00,18.839750000000002,71.01736111111111,13.353791666666666,1.0,,,191.0,107.90694444444445,4.289760416666667
cavendish,2024-08-10 00:00:00+00:00,21.51763888888889,92.00347222222223,20.179319444444445,6.4,,,168.0,99.26944444444445,4.286458333333333
cavendish,2024-08-11 00:00:00+00:00,22.545875000000002,79.62611111111111,18.486541666666668,0.0,,,229.0,284.06805555555553,4.292270833333333
cavendish,2024-08-12 00:00:00+00:00,21.062194444444444,73.27847222222222,15.903652777777777,0.0,,,211.0,236.79888268156424,4.291788194444445
cavendish,2024-08-13 00:00:00+00:00,19.252041666666667,86.45944444444444,16.91625,0.0,,,226.0,219.38803894297635,4.290614583333333
cavendish,2024-08-14 00:00:00+00:00,18.977333333333334,80.84611111111111,15.58790277777778,0.0,,,13.0,230.96518105849583,4.2913125
cavendish,2024-08-15 00:00:00+00:00,17.354263888888887,77.34916666666666,12.921402777777777,0.0,,,65.0,234.4013888888889,4.2869930555555555
cavendish,2024-08-16 00:00:00+00:00,21.169930555555556,69.65125,14.92401388888889,0.0,,,138.0,223.80833333333334,4.290392361111111
cavendish,2024-08-17 00:00:00+00:00,21.44102777777778,65.91541666666666,14.478930555555555,0.0,,,184.0,240.68472222222223,4.288920138888889
cavendish,2024-08-18 00:00:00+00:00,19.48270833333333,75.99875,15.024000000000001,0.0,,,223.0,236.88472222222222,4.2889131944444445
cavendish,2024-08-19 00:00:00+00:00,21.73851388888889,87.49986111111112,19.56215277777778,4.4,,,163.0,167.11126564673157,4.286774305555555
cavendish,2024-08-20 00:00:00+00:00,23.52602777777778,84.70208333333333,20.720444444444443,0.0,,,173.0,186.25801952580196,4.29092013888889
cavendish,2024-08-21 00:00:00+00:00,19.806625,94.445,18.905069444444443,8.4,,,258.0,70.84027777777777,4.286892361111111
cavendish,2024-08-22 00:00:00+00:00,20.365833333333335,78.23486111111112,16.10636111111111,0.0,,,62.0,250.09305555555557,4.287475694444445
cavendish,2024-08-23 00:00:00+00:00,18.506805555555555,78.50791666666666,14.608583333333334,0.0,,,183.0,170.33983286908077,4.290704861111111
cavendish,2024-08-24 00:00:00+00:00,20.700388888888888,72.75222222222222,15.085027777777777,0.0,,,215.0,253.7277777777778,4.29028125
cavendish,2024-08-25 00:00:00+00:00,23.068291666666664,71.14708333333334,17.199444444444445,0.0,,,206.0,242.48055555555555,4.2880520833333335
cavendish,2024-08-26 00:00:00+00:00,22.183736111111113,74.26138888888889,17.304513888888888,1.0,,,184.0,166.38472222222222,4.2880520833333335
cavendish,2024-08-27 00:00:00+00:00,22.01736111111111,73.54513888888889,16.855777777777778,0.0,,,190.0,243.76388888888889,4.287197916666667
cavendish,2024-08-28 00:00:00+00:00,18.327180555555554,83.76027777777777,15.494194444444444,8.4,,,216.0,64.05833333333334,4.283034722222222
cavendish,2024-08-29 00:00:00+00:00,16.594472222222223,67.65625,10.594972222222223,0.0,,,347.0,194.186013986014,4.28409375
cavendish,2024-08-30 00:00:00+00:00,16.750555555555554,64.61208333333333,9.410291666666666,0.0,,,6.0,251.13611111111112,4.281996527777777
cavendish,2024-08-31 00:00:00+00:00,17.80920833333333,71.92819444444444,12.433763888888889,0.0,,,177.0,249.4013888888889,4.28396875
cavendish,2024-09-01 00:00:00+00:00,17.880555555555556,75.49555555555555,13.499666666666666,0.0,,,216.0,1.0,4.25825
