station,timestamp_utc,air_temperature_c,relative_humidity_pct,dew_point_c,rain_mm,wind_speed_kmh,wind_gust_speed_kmh,wind_direction_deg,solar_radiation_w_m2,battery_v
cavendish,2024-06-01 03:00:00+00:00,5.878,93.40666666666667,4.900666666666667,0.0,,,65.0,1.0,4.230333333333333
cavendish,2024-06-01 04:00:00+00:00,7.454666666666666,91.91000000000001,6.232666666666666,0.0,,,65.0,1.0,4.225750000000001
cavendish,2024-06-01 05:00:00+00:00,7.206,90.07,5.694,0.0,,,18.0,1.0,4.223
cavendish,2024-06-01 06:00:00+00:00,6.070333333333334,91.0,4.717333333333333,0.0,,,42.0,1.0,4.220583333333334
cavendish,2024-06-01 07:00:00+00:00,6.4126666666666665,91.33333333333333,5.106,0.0,,,42.0,1.0,4.217333333333333
cavendish,2024-06-01 08:00:00+00:00,8.173,87.40666666666667,6.215333333333334,0.0,,,35.0,3.533333333333333,4.225666666666666
cavendish,2024-06-01 09:00:00+00:00,8.299,88.19,6.4656666666666665,0.0,,,27.0,45.06666666666667,4.3029166666666665
cavendish,2024-06-01 10:00:00+00:00,8.466,92.59666666666666,7.343666666666667,0.0,,,357.0,137.6,4.31175
cavendish,2024-06-01 11:00:00+00:00,9.115666666666668,89.88000000000001,7.550333333333333,0.0,,,3.0,220.56666666666666,4.315416666666667
cavendish,2024-06-01 12:00:00+00:00,9.388,87.75666666666666,7.466333333333334,0.0,,,7.0,293.23333333333335,4.310833333333334
cavendish,2024-06-01 13:00:00+00:00,10.294,82.57333333333332,7.468666666666667,0.0,,,49.0,422.3666666666667,4.313416666666667
cavendish,2024-06-01 14:00:00+00:00,10.055333333333333,84.66333333333334,7.600333333333333,0.2,,,35.0,391.23333333333335,4.312416666666667
cavendish,2024-06-01 15:00:00+00:00,9.651000000000002,85.00333333333333,7.260000000000001,0.0,,,31.0,370.7,4.312333333333333
cavendish,2024-06-01 16:00:00+00:00,9.673333333333334,83.25,6.979666666666668,0.0,,,15.0,425.8666666666667,4.315666666666667
cavendish,2024-06-01 17:00:00+00:00,9.409666666666668,84.67333333333333,6.962666666666666,0.0,,,22.0,240.4,4.315916666666666
cavendish,2024-06-01 18:00:00+00:00,8.911333333333333,88.39333333333335,7.104,0.0,,,24.0,203.8,4.311833333333333
cavendish,2024-06-01 19:00:00+00:00,8.724,87.88333333333334,6.836333333333333,0.0,,,24.0,149.56666666666666,4.309916666666667
cavendish,2024-06-01 20:00:00+00:00,8.032333333333334,89.73666666666666,6.4556666666666676,0.0,,,18.0,117.53333333333333,4.312
cavendish,2024-06-01 21:00:00+00:00,7.8853333333333335,89.31666666666666,6.243666666666667,0.0,,,25.0,59.9,4.315916666666666
cavendish,2024-06-01 22:00:00+00:00,7.766,90.44,6.308666666666666,0.0,,,20.0,19.0,4.304833333333334
cavendish,2024-06-01 23:00:00+00:00,7.769,90.88333333333334,6.384,0.0,,,32.0,4.566666666666666,4.29025
cavendish,2024-06-02 00:00:00+00:00,7.453666666666666,93.82666666666667,6.532666666666667,0.0,,,14.0,1.0,4.257833333333333
cavendish,2024-06-02 01:00:00+00:00,7.718999999999999,94.52666666666667,6.903666666666667,0.0,,,11.0,1.0,4.244666666666666
cavendish,2024-06-02 02:00:00+00:00,7.765,95.13333333333334,7.044,0.8,,,7.0,1.0,4.237
cavendish,2024-06-02 03:00:00+00:00,8.160666666666666,94.93333333333334,7.406666666666666,0.2,,,7.0,1.0,4.23175
cavendish,2024-06-02 04:00:00+00:00,8.409,93.66333333333334,7.457666666666666,0.2,,,3.0,1.0,4.227416666666667
cavendish,2024-06-02 05:00:00+00:00,8.461666666666666,93.71000000000001,7.5169999999999995,0.2,,,8.0,1.0,4.225750000000001
cavendish,2024-06-02 06:00:00+00:00,8.591000000000001,93.72333333333334,7.645666666666667,0.4,,,1.0,1.0,4.223916666666667
cavendish,2024-06-02 07:00:00+00:00,9.181999999999999,91.70333333333333,7.911666666666666,0.0,,,358.0,1.0,4.223
cavendish,2024-06-02 08:00:00+00:00,9.335,90.76333333333334,7.911333333333333,0.0,,,1.0,3.2333333333333334,4.228833333333333
cavendish,2024-06-02 09:00:00+00:00,9.348333333333333,90.01666666666667,7.804,0.0,,,11.0,17.633333333333333,4.29525
cavendish,2024-06-02 10:00:00+00:00,9.525333333333332,90.37666666666668,8.038333333333334,0.0,,,358.0,47.766666666666666,4.30925
cavendish,2024-06-02 11:00:00+00:00,10.388666666666667,88.69333333333334,8.612,0.0,,,351.0,136.56666666666666,4.315666666666667
cavendish,2024-06-02 12:00:00+00:00,10.508333333333333,88.56,8.711,0.0,,,355.0,125.26666666666667,4.316833333333333
cavendish,2024-06-02 13:00:00+00:00,9.994333333333334,88.31666666666666,8.162666666666667,0.0,,,0.0,135.2,4.3140833333333335
cavendish,2024-06-02 14:00:00+00:00,8.652,94.31666666666666,7.798,0.0,,,14.0,132.56666666666666,4.309583333333333
cavendish,2024-06-02 15:00:00+00:00,8.644333333333332,95.44,7.965,0.0,,,8.0,144.7,4.3145
cavendish,2024-06-02 16:00:00+00:00,8.458333333333334,95.89,7.851333333333333,0.0,,,21.0,266.53333333333336,4.30875
cavendish,2024-06-02 17:00:00+00:00,8.395666666666667,96.14666666666668,7.827666666666667,0.0,,,17.0,250.9,4.308416666666667
cavendish,2024-06-02 18:00:00+00:00,8.197,95.46333333333334,7.524,0.0,,,10.0,132.8,4.30825
