station,code,break_start,break_end,cause,missing_input,rows_affected
stanley_bridge,ffmc,2023-04-01T00:00:00+00:00,,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",26092
stanley_bridge,dmc,2023-04-01T00:00:00+00:00,,input_missing,"air_temperature_c, relative_humidity_pct",26092
stanley_bridge,dc,2023-04-01T00:00:00+00:00,2023-07-25T15:00:00+00:00,input_missing,air_temperature_c,2775
stanley_bridge,dc,2024-01-01T00:00:00+00:00,2024-01-02T00:00:00+00:00,input_missing,air_temperature_c,24
stanley_bridge,dc,2025-04-29T15:00:00+00:00,2025-05-01T03:00:00+00:00,input_missing,air_temperature_c,36
stanley_bridge,dc,2025-05-08T19:00:00+00:00,2025-05-09T19:00:00+00:00,input_missing,air_temperature_c,24
stanley_bridge,dc,2026-01-12T14:00:00+00:00,,input_missing,air_temperature_c,1670
tracadie,ffmc,2023-06-29T00:00:00+00:00,,input_missing,relative_humidity_pct,23956
tracadie,dmc,2023-06-29T00:00:00+00:00,,input_missing,relative_humidity_pct,23956
tracadie,dc,2023-07-12T19:00:00+00:00,2023-07-13T19:00:00+00:00,input_missing,air_temperature_c,24
tracadie,dc,2023-07-13T20:00:00+00:00,2023-07-14T20:00:00+00:00,input_missing,air_temperature_c,24
tracadie,dc,2024-01-01T00:00:00+00:00,2024-01-02T00:00:00+00:00,input_missing,air_temperature_c,24
tracadie,dc,2024-05-23T18:00:00+00:00,2024-05-24T18:00:00+00:00,input_missing,air_temperature_c,24
tracadie,dc,2024-09-01T03:00:00+00:00,2024-10-29T02:00:00+00:00,input_missing,air_temperature_c,1391
tracadie,dc,2025-06-04T13:00:00+00:00,2025-06-05T13:00:00+00:00,input_missing,air_temperature_c,24
tracadie,dc,2026-01-12T14:00:00+00:00,,input_missing,air_temperature_c,1670
greenwich,ffmc,2023-04-01T00:00:00+00:00,2023-04-11T16:00:00+00:00,input_missing,relative_humidity_pct,256
greenwich,ffmc,2023-04-23T04:00:00+00:00,2023-04-24T04:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
greenwich,ffmc,2023-04-25T18:00:00+00:00,2024-01-01T04:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",6010
greenwich,ffmc,2024-01-01T06:00:00+00:00,2024-03-14T16:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",1762
greenwich,ffmc,2024-03-28T12:00:00+00:00,2024-04-01T12:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",96
greenwich,ffmc,2024-04-01T13:00:00+00:00,2024-04-03T12:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",47
greenwich,ffmc,2024-04-03T16:00:00+00:00,2024-04-04T20:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",28
greenwich,ffmc,2024-04-05T13:00:00+00:00,2024-04-06T13:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
greenwich,ffmc,2024-04-07T17:00:00+00:00,2024-04-10T15:00:00+00:00,input_missing,air_temperature_c,70
greenwich,ffmc,2024-04-11T11:00:00+00:00,2024-05-28T13:00:00+00:00,input_missing,air_temperature_c,1130
greenwich,ffmc,2025-02-24T20:00:00+00:00,2025-03-01T04:00:00+00:00,input_missing,wind_speed_kmh,104
greenwich,ffmc,2025-08-17T21:00:00+00:00,2025-08-18T21:00:00+00:00,input_missing,relative_humidity_pct,24
greenwich,ffmc,2025-11-01T00:00:00+00:00,2025-12-09T13:00:00+00:00,input_missing,wind_speed_kmh,925
greenwich,ffmc,2026-01-01T00:00:00+00:00,,input_missing,wind_speed_kmh,1948
greenwich,dmc,2023-04-01T00:00:00+00:00,2023-04-11T16:00:00+00:00,input_missing,relative_humidity_pct,256
