station,timestamp_utc,air_temperature_c,rain_mm,solar_radiation_w_m2,battery_v,wind_direction_deg,wind_speed_kmh,wind_gust_speed_kmh,relative_humidity_pct
greenwich,2023-02-01 04:00:00+00:00,-6.8196666666666665,0.0,1.0,4.189583333333333,338.0,11.066666666666666,20.2,
greenwich,2023-02-01 05:00:00+00:00,-6.766333333333334,0.0,1.0,4.18475,306.0,10.933333333333334,20.033333333333335,
greenwich,2023-02-01 06:00:00+00:00,-6.865333333333334,0.0,1.0,4.179833333333334,313.0,10.733333333333333,19.333333333333332,
greenwich,2023-02-01 07:00:00+00:00,-7.109,0.0,1.0,4.176583333333333,327.0,9.666666666666666,17.933333333333334,
greenwich,2023-02-01 08:00:00+00:00,-7.5376666666666665,0.0,1.0,4.173333333333333,319.0,9.866666666666667,17.566666666666666,
greenwich,2023-02-01 09:00:00+00:00,-7.852333333333333,0.0,1.0,4.170416666666667,317.0,9.8,17.666666666666668,
greenwich,2023-02-01 10:00:00+00:00,-8.149,0.0,1.0,4.167416666666667,310.0,9.266666666666667,16.566666666666666,
greenwich,2023-02-01 11:00:00+00:00,-8.348333333333334,0.0,2.933333333333333,4.173583333333333,313.0,8.633333333333333,16.166666666666668,
greenwich,2023-02-01 12:00:00+00:00,-8.51,0.0,44.766666666666666,4.29375,307.0,8.733333333333333,15.433333333333334,
greenwich,2023-02-01 13:00:00+00:00,-8.282666666666666,0.0,159.96666666666667,4.31475,268.0,5.8,10.833333333333334,
greenwich,2023-02-01 14:00:00+00:00,-7.7716666666666665,0.0,274.6666666666667,4.317333333333333,310.0,8.166666666666666,15.3,
greenwich,2023-02-01 15:00:00+00:00,-7.249666666666667,0.0,306.8333333333333,4.31475,317.0,8.7,15.4,
greenwich,2023-02-01 16:00:00+00:00,-7.197666666666667,0.0,360.7586206896552,4.312,314.0,7.566666666666666,13.833333333333334,
greenwich,2023-02-01 17:00:00+00:00,-6.467,0.0,646.2592592592592,4.313166666666667,303.0,7.9,14.333333333333334,
greenwich,2023-02-01 18:00:00+00:00,-6.914333333333333,0.0,452.8965517241379,4.311083333333333,296.0,7.366666666666666,13.066666666666666,
greenwich,2023-02-01 19:00:00+00:00,-7.1770000000000005,0.0,277.62068965517244,4.310083333333334,309.0,5.933333333333334,11.333333333333334,
