station,timestamp_utc,solar_radiation_w_m2,rain_mm,wind_speed_kmh,wind_gust_speed_kmh,wind_direction_deg,air_temperature_c,battery_v
tracadie,2025-04-01 03:00:00+00:00,1.0,0.0,20.64,28.283333333333335,181.0,10.202666666666666,4.269666666666667
tracadie,2025-04-01 04:00:00+00:00,1.0,0.0,18.759999999999998,25.85,175.0,9.964666666666666,4.25725
tracadie,2025-04-01 05:00:00+00:00,1.0,0.0,20.803333333333335,28.176666666666666,178.0,9.935666666666666,4.246416666666667
tracadie,2025-04-01 06:00:00+00:00,1.0,0.0,19.959999999999997,26.823333333333334,173.0,9.915333333333333,4.2395000000000005
tracadie,2025-04-01 07:00:00+00:00,1.0,0.0,14.04,18.52,173.0,9.368,4.234916666666667
tracadie,2025-04-01 08:00:00+00:00,1.0,0.0,12.479999999999999,16.16,150.0,8.596,4.231166666666667
tracadie,2025-04-01 09:00:00+00:00,1.0,0.0,12.520000000000001,16.16,153.0,8.924333333333333,4.227250000000001
tracadie,2025-04-01 10:00:00+00:00,4.366666666666666,0.8,9.28,12.44,139.0,9.419333333333332,4.239333333333334
tracadie,2025-04-01 11:00:00+00:00,16.866666666666667,1.6,7.4399999999999995,10.6,150.0,9.895000000000001,4.299666666666667
tracadie,2025-04-01 12:00:00+00:00,34.833333333333336,0.8,10.6,13.96,173.0,10.005333333333333,4.436
tracadie,2025-04-01 13:00:00+00:00,74.13333333333334,1.6,13.479999999999999,18.45,184.0,9.904,4.47
tracadie,2025-04-01 14:00:00+00:00,89.63333333333334,1.2000000000000002,19.73,26.776666666666664,243.0,8.22,4.471333333333334
tracadie,2025-04-01 15:00:00+00:00,120.3,0.4,24.296666666666667,31.66,282.0,3.08,4.469166666666667
tracadie,2025-04-01 16:00:00+00:00,130.1,0.2,23.403333333333332,31.3,278.0,2.347,4.469833333333334
tracadie,2025-04-01 17:00:00+00:00,105.26666666666667,0.2,25.273333333333333,33.22,274.0,2.2706666666666666,4.470833333333334
