station,timestamp_utc,solar_radiation_w_m2,rain_mm,wind_speed_kmh,wind_gust_speed_kmh,wind_direction_deg,air_temperature_c,battery_v
tracadie,2025-08-01 03:00:00+00:00,1.0,0.0,4.04,5.64,125.0,16.997666666666667,4.258583333333333
tracadie,2025-08-01 04:00:00+00:00,1.0,0.0,7.36,9.479999999999999,76.0,17.33566666666667,4.2556666666666665
tracadie,2025-08-01 05:00:00+00:00,1.0,0.0,9.84,11.84,58.0,17.577333333333332,4.250416666666667
tracadie,2025-08-01 06:00:00+00:00,1.0,0.0,12.639999999999999,14.24,63.0,17.52766666666667,4.2425
tracadie,2025-08-01 07:00:00+00:00,1.0,0.0,12.84,15.120000000000001,72.0,17.61733333333333,4.230666666666667
tracadie,2025-08-01 08:00:00+00:00,1.0333333333333334,0.0,17.36,19.8,72.0,17.18433333333333,4.2242500000000005
tracadie,2025-08-01 09:00:00+00:00,21.5,0.0,17.44,19.68,73.0,16.947666666666667,4.306333333333334
tracadie,2025-08-01 10:00:00+00:00,112.73333333333333,0.0,16.12,18.639999999999997,65.0,16.964666666666666,4.488833333333333
tracadie,2025-08-01 11:00:00+00:00,78.5,0.0,11.520000000000001,13.92,66.0,17.492,4.492333333333334
tracadie,2025-08-01 12:00:00+00:00,300.3,0.0,10.68,13.04,66.0,18.221333333333334,4.495500000000001
tracadie,2025-08-01 13:00:00+00:00,504.76666666666665,0.0,7.640000000000001,10.32,74.0,19.604666666666667,4.499833333333333
tracadie,2025-08-01 14:00:00+00:00,787.5,0.0,18.4,20.92,17.0,19.589999999999996,4.502166666666667
tracadie,2025-08-01 15:00:00+00:00,532.7037037037037,0.0,23.160000000000004,26.21333333333333,21.0,19.590666666666667,4.5035
tracadie,2025-08-01 16:00:00+00:00,782.9655172413793,0.0,24.490000000000002,27.9,21.0,19.619666666666667,4.504833333333333
tracadie,2025-08-01 17:00:00+00:00,795.6333333333333,0.0,26.48,30.18,25.0,19.69333333333333,4.5056666666666665
