station,timestamp_utc,solar_radiation_w_m2,rain_mm,wind_direction_deg,air_temperature_c,battery_v,wind_speed_kmh,wind_gust_speed_kmh
tracadie,2024-02-01 04:00:00+00:00,1.0,0.0,167.0,-7.187,4.239,11.1,13.866666666666667
tracadie,2024-02-01 05:00:00+00:00,1.0,0.0,174.0,-6.074333333333333,4.228833333333333,9.9,12.533333333333333
tracadie,2024-02-01 06:00:00+00:00,1.0,0.0,201.0,-4.711333333333333,4.2225,8.966666666666667,12.433333333333334
tracadie,2024-02-01 07:00:00+00:00,1.0,0.0,202.0,-4.497,4.217833333333334,9.333333333333334,12.466666666666667
tracadie,2024-02-01 08:00:00+00:00,1.0,0.0,204.0,-4.03,4.21625,5.3,8.333333333333334
tracadie,2024-02-01 09:00:00+00:00,1.0,0.0,187.0,-3.811,4.2139999999999995,3.3,5.233333333333333
tracadie,2024-02-01 10:00:00+00:00,1.0,0.0,149.0,-3.999,4.2132499999999995,1.0,1.7666666666666666
tracadie,2024-02-01 11:00:00+00:00,3.466666666666667,0.0,171.0,-3.8699999999999997,4.225333333333333,1.5333333333333334,2.6666666666666665
tracadie,2024-02-01 12:00:00+00:00,36.5,0.0,167.0,-3.312,4.434583333333333,3.8,4.866666666666666
tracadie,2024-02-01 13:00:00+00:00,110.63333333333334,0.0,161.0,-2.277333333333333,4.46975,4.466666666666667,5.933333333333334
tracadie,2024-02-01 14:00:00+00:00,222.8,0.0,170.0,-0.5636666666666666,4.473,1.8,4.066666666666666
tracadie,2024-02-01 15:00:00+00:00,256.6,0.0,357.0,-1.5026666666666666,4.474166666666666,3.933333333333333,4.833333333333333
tracadie,2024-02-01 16:00:00+00:00,202.53333333333333,0.0,20.0,-1.2206666666666666,4.47525,4.033333333333333,5.0
tracadie,2024-02-01 17:00:00+00:00,187.7,0.0,8.0,-0.47200000000000003,4.475750000000001,4.7,7.066666666666666
tracadie,2024-02-01 18:00:00+00:00,85.0,0.0,138.0,-0.297,4.47625,6.2,8.4
tracadie,2024-02-01 19:00:00+00:00,57.06666666666667,0.0,152.0,-0.3173333333333333,4.476583333333333,6.866666666666666,9.0
tracadie,2024-02-01 20:00:00+00:00,18.766666666666666,0.0,138.0,-0.6933333333333334,4.464333333333333,3.6666666666666665,5.233333333333333
tracadie,2024-02-01 21:00:00+00:00,1.1,0.0,135.0,-1.131,4.3790000000000004,3.8333333333333335,4.9
tracadie,2024-02-01 22:00:00+00:00,1.0,0.0,112.0,-1.1936666666666664,4.343666666666667,4.1,5.3
tracadie,2024-02-01 23:00:00+00:00,1.0,0.0,97.0,-1.312,4.327,4.9,5.666666666666667
tracadie,2024-02-02 00:00:00+00:00,1.0,0.0,81.0,-1.68,4.314583333333333,4.533333333333333,5.233333333333333
tracadie,2024-02-02 01:00:00+00:00,1.0,0.0,66.0,-1.9833333333333334,4.303999999999999,3.6333333333333333,4.533333333333333
tracadie,2024-02-02 02:00:00+00:00,1.0,0.0,66.0,-2.135,4.29425,2.6666666666666665,3.9
tracadie,2024-02-02 03:00:00+00:00,1.0,0.0,67.0,-2.056,4.2843333333333335,3.466666666666667,4.2
tracadie,2024-02-02 04:00:00+00:00,1.0,0.0,83.0,-1.8193333333333332,4.2755833333333335,2.466666666666667,3.5
tracadie,2024-02-02 05:00:00+00:00,1.0,0.0,107.0,-1.2796666666666667,4.266333333333333,2.966666666666667,4.233333333333333
tracadie,2024-02-02 06:00:00+00:00,1.0,0.0,112.0,-1.0803333333333331,4.258083333333333,4.8,5.7
tracadie,2024-02-02 07:00:00+00:00,1.0,0.0,115.0,-1.047,4.25075,5.366666666666666,6.533333333333333
tracadie,2024-02-02 08:00:00+00:00,1.0,0.0,119.0,-1.1320000000000001,4.244083333333333,4.9,5.566666666666666
tracadie,2024-02-02 09:00:00+00:00,1.0,0.0,111.0,-1.082,4.237916666666667,4.133333333333334,5.1
tracadie,2024-02-02 10:00:00+00:00,1.0,0.0,121.0,-0.891,4.233666666666667,5.166666666666667,6.333333333333333
tracadie,2024-02-02 11:00:00+00:00,1.0666666666666667,0.0,126.0,-0.932,4.228583333333334,4.733333333333333,5.8
tracadie,2024-02-02 12:00:00+00:00,17.3,0.0,115.0,-0.7973333333333332,4.280333333333333,5.633333333333334,7.333333333333333
tracadie,2024-02-02 13:00:00+00:00,26.933333333333334,0.0,119.0,-0.513,4.40425,6.933333333333334,9.0
tracadie,2024-02-02 14:00:00+00:00,46.4,0.0,129.0,-0.193,4.4664166666666665,6.233333333333333,7.9
tracadie,2024-02-02 15:00:00+00:00,106.4,0.0,115.0,0.608,4.472416666666667,4.0,5.6
tracadie,2024-02-02 16:00:00+00:00,94.83333333333333,0.8,108.0,-0.502,4.475166666666667,2.1333333333333333,3.6
tracadie,2024-02-02 17:00:00+00:00,108.36666666666666,0.2,29.0,-0.5323333333333333,4.476166666666667,4.866666666666666,5.633333333333334
tracadie,2024-02-02 18:00:00+00:00,69.03333333333333,0.0,13.0,-1.0846666666666667,4.477083333333334,6.333333333333333,7.1
tracadie,2024-02-02 19:00:00+00:00,50.56666666666667,0.0,32.0,-1.1900000000000002,4.477833333333334,7.066666666666666,8.133333333333333
tracadie,2024-02-02 20:00:00+00:00,25.533333333333335,0.0,8.0,-1.26,4.477083333333334,9.1,10.866666666666667
tracadie,2024-02-02 21:00:00+00:00,4.6,0.0,18.0,-1.1633333333333333,4.420333333333333,11.3,13.2
tracadie,2024-02-02 22:00:00+00:00,1.0,0.0,7.0,-1.026,4.353000000000001,15.833333333333334,18.366666666666667
tracadie,2024-02-02 23:00:00+00:00,1.0,0.0,13.0,-1.0113333333333334,4.332666666666666,17.233333333333334,19.733333333333334
tracadie,2024-02-03 00:00:00+00:00,1.0,0.2,13.0,-1.014,4.319083333333333,25.5,29.933333333333334
tracadie,2024-02-03 01:00:00+00:00,1.0,0.0,7.0,-1.7256666666666665,4.3077499999999995,35.333333333333336,40.833333333333336
tracadie,2024-02-03 02:00:00+00:00,1.0,0.0,7.0,-2.2296666666666667,4.297916666666667,38.63333333333333,45.6
