Date,Time,"RH (RH 21114839:20824084-2),%,Cavendish Green Gables","Temperature (Temperature 21114839:20824084-1),°C,Cavendish Green Gables","Average wind speed (Average wind speed 21114839:21107892-1),Km/h,Cavendish Green Gables","Wind Direction (Wind Direction 21114839:21107892-3),°,Cavendish Green Gables","Rain (Rain 21114839:21092075-1),mm,Cavendish Green Gables","Solar Radiation (Solar Radiation 21114839:21109518-1),W/m²,Cavendish Green Gables","Wind gust speed (Wind gust speed 21114839:21107892-2),Km/h,Cavendish Green Gables","Dew Point (Dew Point 21114839:20824084-3),°C,Cavendish Green Gables","Accumulated Rain (Accumulated Rain 21114839:21092075-2),mm,Cavendish Green Gables"
12/01/2025,00:00:00 -0400,,,,,,,,,10.402539062500011
12/02/2025,00:00:00 -0400,,,,,,,,,0
12/03/2025,00:00:00 -0400,,,,,,,,,14.003417968750016
12/04/2025,00:00:00 -0400,,,,,,,,,2.0004882812499996
12/05/2025,00:00:00 -0400,,,,,,,,,0
12/06/2025,00:00:00 -0400,,,,,,,,,0
12/07/2025,00:00:00 -0400,,,,,,,,,0.200048828125
12/08/2025,00:00:00 -0400,,,,,,,,,0
12/09/2025,00:00:00 -0400,,,,,,,,,0
12/10/2025,00:00:00 -0400,,,,,,,,,0
12/11/2025,00:00:00 -0400,,,,,,,,,4.2010253906249995
12/12/2025,00:00:00 -0400,,,,,,,,,0
12/13/2025,00:00:00 -0400,,,,,,,,,0
12/14/2025,00:00:00 -0400,,,,,,,,,0
12/15/2025,00:00:00 -0400,,,,,,,,,0
12/16/2025,00:00:00 -0400,,,,,,,,,0
12/17/2025,00:00:00 -0400,,,,,,,,,0
12/18/2025,00:00:00 -0400,,,,,,,,,0
12/19/2025,00:00:00 -0400,,,,,,,,,1.4003417968749998
12/20/2025,00:00:00 -0400,,,,,,,,,5.001220703125002
12/21/2025,00:00:00 -0400,,,,,,,,,1.000244140625
12/22/2025,00:00:00 -0400,,,,,,,,,0
12/23/2025,00:00:00 -0400,,,,,,,,,0
12/24/2025,00:00:00 -0400,,,,,,,,,0
12/25/2025,00:00:00 -0400,,,,,,,,,0
12/26/2025,00:00:00 -0400,,,,,,,,,0
12/27/2025,00:00:00 -0400,,,,,,,,,0
12/28/2025,00:00:00 -0400,,,,,,,,,0
12/29/2025,00:00:00 -0400,,,,,,,,,2.2005371093749995
12/30/2025,00:00:00 -0400,,,,,,,,,10.40253906250001
12/31/2025,20:00:00 -0400,75.39999662606247,-8.496556011471654,0,308.8627450980392,0,0.625,1.202274600758272,-12.072014110644089,
12/31/2025,20:02:00 -0400,75.49999662158775,-8.430058715235646,0,308.8627450980392,0,0.625,0,-11.99101455922654,
12/31/2025,20:04:00 -0400,75.49999662158775,-8.396851218137328,0,308.8627450980392,0,0.625,0,-11.95877369168016,
12/31/2025,20:06:00 -0400,75.49999662158775,-8.396851218137328,0,308.8627450980392,0,0.625,0,-11.95877369168016,
12/31/2025,20:08:00 -0400,75.59999661711304,-8.363671051854212,0,308.8627450980392,0,0.625,1.202274600758272,-11.910122616313714,
12/31/2025,20:10:00 -0400,75.59999661711304,-8.297392403855483,0,308.8627450980392,0,0.625,0,-11.845764610580668,
12/31/2025,20:12:00 -0400,75.79999660816361,-8.198177496182268,0,308.8627450980392,0,0.625,1.202274600758272,-11.716563318683404,
12/31/2025,20:14:00 -0400,75.79999660816361,-8.165159706855562,0,308.8627450980392,0,0.625,0,-11.684493645340162,
12/31/2025,20:16:00 -0400,75.79999660816361,-8.099204445509017,0,308.8627450980392,0,0.625,1.202274600758272,-11.620432733328311,
12/31/2025,20:18:00 -0400,75.89999660368889,-8.033355774762668,0,308.8627450980392,0,0.625,1.202274600758272,-11.540050322411041,
12/31/2025,20:20:00 -0400,75.99999659921417,-7.93478132531547,1.202274600758272,308.8627450980392,0,0.625,2.404549201516544,-11.427874843379698,
12/31/2025,20:22:00 -0400,75.89999660368889,-7.836443376240538,2.404549201516544,308.8627450980392,0,0.625,3.6068238022748167,-11.348770836555298,
12/31/2025,20:24:00 -0400,76.09999659473945,-7.673067013047444,3.6068238022748167,258.321568627451,0,0.625,4.809098403033088,-11.157176775631658,
12/31/2025,20:26:00 -0400,76.09999659473945,-7.607896865737885,3.6068238022748167,207.78039215686277,0,0.625,4.809098403033088,-11.093854986546646,
12/31/2025,20:28:00 -0400,76.09999659473945,-7.575350163879065,2.404549201516544,207.78039215686277,0,0.625,3.6068238022748167,-11.062231579107074,
12/31/2025,20:30:00 -0400,76.09999659473945,-7.510333150795233,1.202274600758272,207.78039215686277,0,0.625,2.404549201516544,-10.999059393888734,
12/31/2025,20:32:00 -0400,76.19999659026473,-7.477862699143742,1.202274600758272,207.78039215686277,0,0.625,1.202274600758272,-10.951064268294784,
12/31/2025,20:34:00 -0400,76.19999659026473,-7.445417524217689,1.202274600758272,207.78039215686277,0,0.625,2.404549201516544,-10.919535473876918,
12/31/2025,20:36:00 -0400,76.19999659026473,-7.34823296512748,1.202274600758272,207.78039215686277,0,0.625,2.404549201516544,-10.825096595256564,
12/31/2025,20:38:00 -0400,76.19999659026473,-7.283568373443131,2.404549201516544,207.78039215686277,0,0.625,3.6068238022748167,-10.762259589396441,
12/31/2025,20:40:00 -0400,76.19999659026473,-7.283568373443131,3.6068238022748167,207.78039215686277,0,0.625,3.6068238022748167,-10.762259589396441,
12/31/2025,20:42:00 -0400,76.29999658579001,-7.2512734060859,2.404549201516544,207.78039215686277,0,0.625,3.6068238022748167,-10.714418616323625,
12/31/2025,20:44:00 -0400,76.19999659026473,-7.2512734060859,1.202274600758272,207.78039215686277,0,0.625,2.404549201516544,-10.730877559492615,
12/31/2025,20:46:00 -0400,76.29999658579001,-7.219003233470431,0,207.78039215686277,0,0.625,1.202274600758272,-10.683056264637518,
12/31/2025,20:48:00 -0400,76.29999658579001,-7.219003233470431,0,207.78039215686277,0,0.625,1.202274600758272,-10.683056264637518,
12/31/2025,20:50:00 -0400,76.29999658579001,-7.219003233470431,1.202274600758272,207.78039215686277,0,0.625,2.404549201516544,-10.683056264637518,
12/31/2025,20:52:00 -0400,76.29999658579001,-7.15453700116079,1.202274600758272,207.78039215686277,0,0.625,3.6068238022748167,-10.620403984816742,
12/31/2025,20:54:00 -0400,76.39999658131529,-7.090169136286875,2.404549201516544,207.78039215686277,0,0.625,3.6068238022748167,-10.5413853736851,
12/31/2025,20:56:00 -0400,76.39999658131529,-7.025899102400942,2.404549201516544,207.78039215686277,0,0.625,3.6068238022748167,-10.478915765852157,
12/31/2025,20:58:00 -0400,76.29999658579001,-6.993800605464216,2.404549201516544,207.78039215686277,0,0.625,3.6068238022748167,-10.464192689953093,
12/31/2025,21:00:00 -0400,76.19999659026473,-6.929676320405477,2.404549201516544,207.78039215686277,0,0.625,3.6068238022748167,-10.418378864682007,
12/31/2025,21:02:00 -0400,76.09999659473945,-6.897650400495948,3.6068238022748167,207.78039215686277,0,0.625,4.809098403033088,-10.40378781592247,
12/31/2025,21:04:00 -0400,76.09999659473945,-6.897650400495948,2.404549201516544,207.78039215686277,0,0.625,3.6068238022748167,-10.40378781592247,
12/31/2025,21:06:00 -0400,76.19999659026473,-6.897650400495948,2.404549201516544,207.78039215686277,0,0.625,3.6068238022748167,-10.387259720450345,
12/31/2025,21:08:00 -0400,76.09999659473945,-6.929676320405477,1.202274600758272,207.78039215686277,0,0.625,3.6068238022748167,-10.434902435231455,
12/31/2025,21:10:00 -0400,76.09999659473945,-6.929676320405477,0,207.78039215686277,0,0.625,0,-10.434902435231455,
12/31/2025,21:12:00 -0400,76.09999659473945,-6.961726366801713,0,207.78039215686277,0,0.625,0,-10.46604062596333,
12/31/2025,21:14:00 -0400,76.09999659473945,-6.961726366801713,0,207.78039215686277,0,0.625,0,-10.46604062596333,
