Date,Time,"RH (RH 21114839:20824084-2),%,Cavendish Green Gables","Temperature (Temperature 21114839:20824084-1),°C,Cavendish Green Gables","Average wind speed (Average wind speed 21114839:21107892-1),Km/h,Cavendish Green Gables","Wind Direction (Wind Direction 21114839:21107892-3),°,Cavendish Green Gables","Rain (Rain 21114839:21092075-1),mm,Cavendish Green Gables","Solar Radiation (Solar Radiation 21114839:21109518-1),W/m²,Cavendish Green Gables","Wind gust speed (Wind gust speed 21114839:21107892-2),Km/h,Cavendish Green Gables","Dew Point (Dew Point 21114839:20824084-3),°C,Cavendish Green Gables","Accumulated Rain (Accumulated Rain 21114839:21092075-2),mm,Cavendish Green Gables"
02/01/2026,00:00:00 -0400,,,,,,,,,0
02/02/2026,00:00:00 -0400,,,,,,,,,0
02/03/2026,00:00:00 -0400,,,,,,,,,0
02/04/2026,00:00:00 -0400,,,,,,,,,0
02/05/2026,00:00:00 -0400,,,,,,,,,0
02/06/2026,00:00:00 -0400,,,,,,,,,0
02/07/2026,00:00:00 -0400,,,,,,,,,0
02/08/2026,00:00:00 -0400,,,,,,,,,0
02/09/2026,00:00:00 -0400,,,,,,,,,0
02/10/2026,00:00:00 -0400,,,,,,,,,0
02/11/2026,00:00:00 -0400,,,,,,,,,0.200048828125
02/12/2026,00:00:00 -0400,,,,,,,,,0.200048828125
02/13/2026,00:00:00 -0400,,,,,,,,,0.40009765625
02/14/2026,00:00:00 -0400,,,,,,,,,0
02/15/2026,00:00:00 -0400,,,,,,,,,0
02/16/2026,00:00:00 -0400,,,,,,,,,1.4003417968749998
02/17/2026,00:00:00 -0400,,,,,,,,,0
02/18/2026,00:00:00 -0400,,,,,,,,,0
02/19/2026,00:00:00 -0400,,,,,,,,,0.600146484375
02/20/2026,00:00:00 -0400,,,,,,,,,0
02/21/2026,00:00:00 -0400,,,,,,,,,0
02/22/2026,00:00:00 -0400,,,,,,,,,0
02/23/2026,00:00:00 -0400,,,,,,,,,0
02/24/2026,00:00:00 -0400,,,,,,,,,0
02/25/2026,00:00:00 -0400,,,,,,,,,1.4003417968749998
02/26/2026,00:00:00 -0400,,,,,,,,,2.4005859375
02/27/2026,00:00:00 -0400,,,,,,,,,0
02/28/2026,00:00:00 -0400,,,,,,,,,0
