Date,Time,Temperature_C,Barometric_Pressure_kPa,Solar_Radiation_Wm2
2023-03-13,00:00:00,-3.78,102.128,1
2023-03-13,00:05:00,-3.99,102.136,1
2023-03-13,00:10:00,-4.11,102.131,1
2023-03-13,00:15:00,-4.05,102.125,1
2023-03-13,00:20:00,-4.23,102.134,1
2023-03-13,00:25:00,-4.53,102.141,1
2023-03-13,00:30:00,-4.47,102.141,1
2023-03-13,00:35:00,-4.5,102.141,1
2023-03-13,00:40:00,-4.93,102.144,1
2023-03-13,00:45:00,-5.54,102.138,1
2023-03-13,00:50:00,-5.64,102.133,1
2023-03-13,00:55:00,-5.36,102.135,1
2023-03-13,01:00:00,-4.62,102.147,1
2023-03-13,01:05:00,-4.59,102.141,1
2023-03-13,01:10:00,-4.9,102.14,1
2023-03-13,01:15:00,-5.08,102.148,1
2023-03-13,01:20:00,-4.77,102.156,1
2023-03-13,01:25:00,-4.71,102.151,1
2023-03-13,01:30:00,-4.68,102.16,1
2023-03-13,01:35:00,-5.26,102.16,1
2023-03-13,01:40:00,-4.77,102.157,1
2023-03-13,01:45:00,-4.77,102.153,1
2023-03-13,01:50:00,-5.42,102.158,1
2023-03-13,01:55:00,-5.26,102.156,1
2023-03-13,02:00:00,-5.57,102.159,1
2023-03-13,02:05:00,-6.26,102.165,1
2023-03-13,02:10:00,-6.26,102.165,1
2023-03-13,02:15:00,-6.2,102.166,1
2023-03-13,02:20:00,-6.36,102.164,1
2023-03-13,02:25:00,-6.14,102.17,1
2023-03-13,02:30:00,-6.45,102.178,1
2023-03-13,02:35:00,-5.89,102.181,1
2023-03-13,02:40:00,-5.7,102.183,1
2023-03-13,02:45:00,-5.42,102.18,1
2023-03-13,02:50:00,-5.2,102.177,1
2023-03-13,02:55:00,-5.08,102.174,1
2023-03-13,03:00:00,-4.83,102.171,1
2023-03-13,03:05:00,-4.59,102.166,1
2023-03-13,03:10:00,-4.65,102.16,1
2023-03-13,03:15:00,-4.71,102.158,1
2023-03-13,03:20:00,-4.77,102.155,1
2023-03-13,03:25:00,-4.83,102.146,1
2023-03-13,03:30:00,-4.62,102.143,1
2023-03-13,03:35:00,-4.5,102.14,1
2023-03-13,03:40:00,-4.65,102.141,1
2023-03-13,03:45:00,-4.59,102.144,1
2023-03-13,03:50:00,-4.77,102.144,1
2023-03-13,03:55:00,-5.14,102.145,1
2023-03-13,04:00:00,-5.45,102.144,1
2023-03-13,04:05:00,-5.08,102.138,1
2023-03-13,04:10:00,-5.08,102.138,1
2023-03-13,04:15:00,-5.23,102.137,1
2023-03-13,04:20:00,-4.83,102.138,1
2023-03-13,04:25:00,-5.08,102.136,1
2023-03-13,04:30:00,-4.9,102.136,1
2023-03-13,04:35:00,-4.9,102.13,1
2023-03-13,04:40:00,-5.33,102.137,1
2023-03-13,04:45:00,-5.36,102.143,1
2023-03-13,04:50:00,-5.26,102.152,1
2023-03-13,04:55:00,-5.76,102.157,1
2023-03-13,05:00:00,-6.26,102.172,1
2023-03-13,05:05:00,-6.52,102.175,1
2023-03-13,05:10:00,-6.9,102.178,1
2023-03-13,05:15:00,-8.13,102.182,1
2023-03-13,05:20:00,-8.33,102.179,1
2023-03-13,05:25:00,-8.3,102.186,1
2023-03-13,05:30:00,-8.13,102.187,1
2023-03-13,05:35:00,-7.74,102.185,1
2023-03-13,05:40:00,-7.15,102.193,1
2023-03-13,05:45:00,-6.9,102.196,1
2023-03-13,05:50:00,-6.99,102.197,1
2023-03-13,05:55:00,-6.9,102.202,1
2023-03-13,06:00:00,-7.54,102.208,1
2023-03-13,06:05:00,-7.74,102.208,1
2023-03-13,06:10:00,-8.26,102.207,1
2023-03-13,06:15:00,-8.46,102.21,1
2023-03-13,06:20:00,-8.46,102.207,1
2023-03-13,06:25:00,-7.28,102.204,1
2023-03-13,06:30:00,-7.25,102.205,1
2023-03-13,06:35:00,-7.51,102.21,1
2023-03-13,06:40:00,-7.38,102.207,1
2023-03-13,06:45:00,-7.61,102.206,1
2023-03-13,06:50:00,-7.67,102.201,1
2023-03-13,06:55:00,-8.93,102.209,1
2023-03-13,07:00:00,-8.93,102.212,1
2023-03-13,07:05:00,-9.07,102.216,1
2023-03-13,07:10:00,-8.97,102.218,1
2023-03-13,07:15:00,-8.23,102.218,1
2023-03-13,07:20:00,-7.61,102.23,1
2023-03-13,07:25:00,-7.67,102.239,2
2023-03-13,07:30:00,-7.67,102.243,3
2023-03-13,07:35:00,-8.2,102.252,6
2023-03-13,07:40:00,-8.4,102.253,16
2023-03-13,07:45:00,-7.97,102.26,26
2023-03-13,07:50:00,-6.96,102.268,38
2023-03-13,07:55:00,-6.36,102.271,51
2023-03-13,08:00:00,-6.55,102.276,66
2023-03-13,08:05:00,-6.07,102.278,81
2023-03-13,08:10:00,-8.13,102.282,97
2023-03-13,08:15:00,-7.32,102.285,116
2023-03-13,08:20:00,-5.76,102.289,133
2023-03-13,08:25:00,-3.45,102.297,149
2023-03-13,08:30:00,-4.17,102.301,166
2023-03-13,08:35:00,-4.41,102.307,176
2023-03-13,08:40:00,-3.66,102.306,191
2023-03-13,08:45:00,-2.16,102.312,201
2023-03-13,08:50:00,-5.95,102.312,219
2023-03-13,08:55:00,-5.85,102.316,232
2023-03-13,09:00:00,-5.92,102.32,247
2023-03-13,09:05:00,-4.5,102.322,259
2023-03-13,09:10:00,-3.84,102.329,273
2023-03-13,09:15:00,-4.5,102.324,287
2023-03-13,09:20:00,-4.35,102.33,302
2023-03-13,09:25:00,-3.84,102.338,312
2023-03-13,09:30:00,-1.99,102.341,329
2023-03-13,09:35:00,-1.64,102.339,344
2023-03-13,09:40:00,-2.07,102.344,359
2023-03-13,09:45:00,-2.3,102.345,381
2023-03-13,09:50:00,-1.21,102.347,404
2023-03-13,09:55:00,-0.65,102.356,404
2023-03-13,10:00:00,-0.73,102.364,417
2023-03-13,10:05:00,0.19,102.374,429
2023-03-13,10:10:00,0.82,102.378,442
2023-03-13,10:15:00,1.15,102.378,453
2023-03-13,10:20:00,-0.03,102.389,464
2023-03-13,10:25:00,0.41,102.385,476
2023-03-13,10:30:00,0.19,102.395,488
2023-03-13,10:35:00,-0.51,102.396,499
2023-03-13,10:40:00,-0.54,102.403,511
2023-03-13,10:45:00,-0.48,102.412,523
2023-03-13,10:50:00,0.05,102.413,534
2023-03-13,10:55:00,-0.03,102.412,546
2023-03-13,11:00:00,-0.12,102.402,556
2023-03-13,11:05:00,-0.26,102.404,566
2023-03-13,11:10:00,-0.14,102.401,577
2023-03-13,11:15:00,0.08,102.39,586
